phi,r,z
0.296153,4.960296,0.802120
0.297011,4.960078,0.804347
0.297869,4.959859,0.806573
0.298727,4.959641,0.808799
0.299585,4.959421,0.811024
0.300443,4.959201,0.813248
0.301301,4.958981,0.815472
0.302159,4.958760,0.817695
0.303018,4.958539,0.819918
0.303876,4.958317,0.822139
0.304735,4.958095,0.824361
0.305593,4.957872,0.826582
0.306452,4.957648,0.828802
0.307311,4.957424,0.831021
0.308170,4.957200,0.833240
0.309029,4.956975,0.835458
0.309888,4.956750,0.837676
0.310747,4.956524,0.839893
0.311606,4.956298,0.842109
0.312465,4.956071,0.844325
0.313325,4.955843,0.846540
0.314184,4.955616,0.848754
0.315044,4.955387,0.850968
0.315903,4.955158,0.853181
0.316763,4.954929,0.855393
0.317623,4.954699,0.857605
0.318483,4.954469,0.859816
0.319342,4.954238,0.862027
0.320202,4.954007,0.864237
0.321063,4.953775,0.866446
0.321923,4.953543,0.868655
0.322783,4.953310,0.870863
0.323643,4.953077,0.873070
0.324504,4.952844,0.875277
0.325364,4.952610,0.877483
0.326225,4.952375,0.879688
0.327086,4.952140,0.881893
0.327946,4.951904,0.884097
0.328807,4.951668,0.886300
0.329668,4.951432,0.888502
0.330529,4.951195,0.890704
0.331390,4.950957,0.892906
0.332251,4.950719,0.895106
0.333113,4.950481,0.897306
0.333974,4.950242,0.899506
0.334835,4.950003,0.901704
0.335697,4.949763,0.903902
0.336559,4.949523,0.906099
0.337420,4.949282,0.908296
0.338282,4.949041,0.910492
0.339144,4.948799,0.912687
0.340006,4.948557,0.914882
0.340868,4.948315,0.917076
0.341730,4.948072,0.919269
0.342592,4.947828,0.921461
0.343455,4.947585,0.923653
0.344317,4.947340,0.925844
0.345179,4.947095,0.928034
0.346042,4.946850,0.930224
0.346905,4.946604,0.932413
0.347767,4.946358,0.934601
0.348630,4.946112,0.936789
0.349493,4.945865,0.938976
0.350356,4.945617,0.941162
0.351219,4.945369,0.943347
0.352083,4.945121,0.945532
0.352946,4.944872,0.947716
0.353809,4.944623,0.949900
0.354673,4.944373,0.952082
0.355536,4.944123,0.954264
0.356400,4.943872,0.956445
0.357264,4.943621,0.958626
0.358127,4.943369,0.960805
0.358991,4.943118,0.962984
0.359855,4.942865,0.965163
0.360719,4.942612,0.967340
0.361584,4.942359,0.969517
0.362448,4.942106,0.971693
0.363312,4.941851,0.973869
0.364177,4.941597,0.976043
0.365041,4.941342,0.978217
0.365906,4.941087,0.980391
0.366771,4.940831,0.982563
0.367636,4.940575,0.984735
0.368501,4.940318,0.986906
0.369366,4.940061,0.989076
0.370231,4.939804,0.991246
0.371096,4.939546,0.993414
0.371961,4.939287,0.995582
0.372827,4.939029,0.997750
0.373692,4.938769,0.999916
0.374558,4.938510,1.002082
0.375423,4.938250,1.004247
0.376289,4.937990,1.006411
0.377155,4.937729,1.008575
0.378021,4.937468,1.010738
0.378887,4.937206,1.012900
0.379753,4.936944,1.015061
0.380619,4.936681,1.017221
0.381486,4.936419,1.019381
0.382352,4.936155,1.021540
0.383219,4.935892,1.023698
0.384085,4.935628,1.025856
0.384952,4.935363,1.028013
0.385819,4.935098,1.030168
0.386686,4.934833,1.032324
0.387553,4.934567,1.034478
0.388420,4.934301,1.036632
0.389287,4.934035,1.038784
0.390154,4.933768,1.040936
0.391022,4.933501,1.043088
0.391889,4.933233,1.045238
0.392757,4.932965,1.047388
0.393625,4.932697,1.049537
0.394492,4.932428,1.051685
0.395360,4.932159,1.053832
0.396228,4.931889,1.055979
0.397096,4.931619,1.058125
0.397965,4.931349,1.060270
0.398833,4.931078,1.062414
0.399701,4.930807,1.064557
0.400570,4.930536,1.066700
0.401438,4.930264,1.068842
0.402307,4.929992,1.070983
0.403176,4.929719,1.073123
0.404045,4.929446,1.075262
0.404914,4.929173,1.077401
0.405783,4.928899,1.079539
0.406652,4.928625,1.081676
0.407521,4.928351,1.083812
0.408391,4.928076,1.085947
0.409260,4.927801,1.088082
0.410130,4.927525,1.090215
0.410999,4.927249,1.092348
0.411869,4.926973,1.094480
0.412739,4.926696,1.096612
0.413609,4.926419,1.098742
0.414479,4.926142,1.100872
0.415349,4.925864,1.103001
0.416220,4.925586,1.105129
0.417090,4.925308,1.107256
0.417960,4.925029,1.109382
0.418831,4.924750,1.111508
0.419702,4.924470,1.113633
0.420573,4.924191,1.115757
0.421443,4.923910,1.117880
0.422314,4.923630,1.120002
0.423186,4.923349,1.122123
0.424057,4.923068,1.124244
0.424928,4.922786,1.126364
0.425800,4.922504,1.128482
0.426671,4.922222,1.130600
0.427543,4.921939,1.132718
0.428414,4.921657,1.134834
0.429286,4.921373,1.136950
0.430158,4.921090,1.139064
0.431030,4.920806,1.141178
0.431902,4.920521,1.143291
0.432775,4.920237,1.145403
0.433647,4.919952,1.147514
0.434519,4.919667,1.149625
0.435392,4.919381,1.151734
0.436265,4.919095,1.153843
0.437137,4.918809,1.155951
0.438010,4.918522,1.158058
0.438883,4.918235,1.160164
0.439756,4.917948,1.162269
0.440630,4.917661,1.164374
0.441503,4.917373,1.166477
0.442376,4.917085,1.168580
0.443250,4.916796,1.170682
0.444124,4.916507,1.172782
0.444997,4.916218,1.174882
0.445871,4.915929,1.176982
0.446745,4.915639,1.179080
0.447619,4.915349,1.181177
0.448493,4.915059,1.183274
0.449368,4.914768,1.185370
0.450242,4.914477,1.187464
0.451116,4.914186,1.189558
0.451991,4.913894,1.191651
0.452866,4.913602,1.193743
0.453741,4.913310,1.195835
0.454615,4.913018,1.197925
0.455490,4.912725,1.200014
0.456366,4.912432,1.202103
0.457241,4.912138,1.204191
0.458116,4.911845,1.206278
0.458992,4.911551,1.208363
0.459867,4.911257,1.210448
0.460743,4.910962,1.212533
0.461619,4.910667,1.214616
0.462495,4.910372,1.216698
0.463371,4.910077,1.218779
0.464247,4.909781,1.220860
0.465123,4.909485,1.222940
0.465999,4.909189,1.225018
0.466876,4.908892,1.227096
0.467752,4.908596,1.229173
0.468629,4.908299,1.231249
0.469506,4.908001,1.233324
0.470383,4.907704,1.235398
0.471260,4.907406,1.237471
0.472137,4.907107,1.239544
0.473014,4.906809,1.241615
0.473891,4.906510,1.243685
0.474769,4.906211,1.245755
0.475646,4.905912,1.247823
0.476524,4.905613,1.249891
0.477402,4.905313,1.251958
0.478280,4.905013,1.254024
0.479158,4.904712,1.256089
0.480036,4.904412,1.258153
0.480914,4.904111,1.260216
0.481792,4.903810,1.262278
0.482671,4.903509,1.264339
0.483549,4.903207,1.266399
0.484428,4.902905,1.268459
0.485307,4.902603,1.270517
0.486186,4.902301,1.272574
0.487065,4.901998,1.274631
0.487944,4.901696,1.276686
0.488823,4.901392,1.278741
0.489703,4.901089,1.280795
0.490582,4.900786,1.282847
0.491462,4.900482,1.284899
0.492341,4.900178,1.286950
0.493221,4.899874,1.289000
0.494101,4.899569,1.291049
0.494981,4.899264,1.293097
0.495861,4.898959,1.295144
0.496741,4.898654,1.297190
0.497622,4.898349,1.299235
0.498502,4.898043,1.301279
0.499383,4.897737,1.303322
0.500264,4.897431,1.305364
0.501145,4.897125,1.307406
0.502026,4.896818,1.309446
0.502907,4.896511,1.311485
0.503788,4.896204,1.313524
0.504669,4.895897,1.315561
0.505550,4.895590,1.317597
0.506432,4.895282,1.319633
0.507314,4.894974,1.321667
0.508195,4.894666,1.323701
0.509077,4.894358,1.325733
0.509959,4.894049,1.327765
0.510841,4.893741,1.329795
0.511724,4.893432,1.331825
0.512606,4.893123,1.333854
0.513488,4.892813,1.335881
0.514371,4.892504,1.337908
0.515254,4.892194,1.339934
0.516137,4.891884,1.341958
0.517020,4.891574,1.343982
0.517903,4.891264,1.346005
0.518786,4.890953,1.348026
0.519669,4.890642,1.350047
0.520552,4.890331,1.352067
0.521436,4.890020,1.354085
0.522320,4.889709,1.356103
0.523203,4.889397,1.358120
0.524087,4.889086,1.360135
0.524971,4.888774,1.362150
0.525855,4.888462,1.364164
0.526740,4.888150,1.366177
0.527624,4.887837,1.368188
0.528508,4.887525,1.370199
0.529393,4.887212,1.372209
0.530278,4.886899,1.374217
0.531162,4.886586,1.376225
0.532047,4.886273,1.378232
0.532932,4.885959,1.380237
0.533818,4.885646,1.382242
0.534703,4.885332,1.384246
0.535588,4.885018,1.386248
0.536474,4.884704,1.388250
0.537360,4.884389,1.390250
0.538245,4.884075,1.392250
0.539131,4.883760,1.394248
0.540017,4.883446,1.396246
0.540903,4.883131,1.398242
0.541790,4.882816,1.400238
0.542676,4.882500,1.402232
0.543562,4.882185,1.404226
0.544449,4.881869,1.406218
0.545336,4.881554,1.408209
0.546223,4.881238,1.410200
0.547110,4.880922,1.412189
0.547997,4.880606,1.414177
0.548884,4.880290,1.416164
0.549771,4.879973,1.418150
0.550659,4.879657,1.420136
0.551546,4.879340,1.422120
0.552434,4.879023,1.424103
0.553322,4.878706,1.426085
0.554210,4.878389,1.428066
0.555098,4.878072,1.430045
0.555986,4.877754,1.432024
0.556874,4.877437,1.434002
0.557763,4.877119,1.435979
0.558651,4.876801,1.437954
0.559540,4.876484,1.439929
0.560429,4.876166,1.441903
0.561318,4.875847,1.443875
0.562207,4.875529,1.445847
0.563096,4.875211,1.447817
