t,sum_log_stretch
1253.541032,56.238127
1256.606911,56.337362
1259.606568,56.373106
1262.543326,56.452414
1265.421048,56.706783
1268.243887,57.043008
1271.016086,57.334374
1273.741822,57.552328
1276.425099,57.709502
1279.069681,57.828695
1281.679053,57.932642
1284.256410,58.036187
1286.804657,58.142162
1289.326426,58.245551
1291.824091,58.340674
1294.299788,58.424659
1296.755443,58.497239
1299.192785,58.559451
1301.613375,58.612588
1304.018619,58.657654
1306.409788,58.695184
1308.788032,58.725276
1311.154393,58.747713
1313.509820,58.762076
1315.855178,58.767845
1318.191258,58.764457
1320.518782,58.751356
1322.838417,58.728063
1325.150775,58.694300
1327.456424,58.650256
1329.755889,58.597116
1332.049659,58.538049
1334.338189,58.479809
1336.621906,58.434528
1338.901210,58.419463
1341.176478,58.450891
1343.448067,58.533460
1345.716313,58.656481
1347.981539,58.802258
1350.244050,58.955672
1352.504143,59.107332
1354.762098,59.252495
1357.018191,59.389217
1359.272684,59.517019
1361.525837,59.636119
1363.777902,59.747031
1366.029124,59.850368
1368.279750,59.946748
1370.530018,60.036754
1372.780170,60.120917
1375.030443,60.199717
1377.281078,60.273582
1379.532316,60.342897
1381.784401,60.408008
1384.037579,60.469232
1386.292104,60.526862
1388.548233,60.581175
1390.806230,60.632441
1393.066371,60.680925
1395.328937,60.726895
1397.594223,60.770626
1399.862537,60.812400
1402.134200,60.852503
1404.409550,60.891228
1406.688943,60.928858
1408.972758,60.965666
1411.261396,61.001901
1413.555282,61.037779
1415.854874,61.073473
1418.160661,61.109110
1420.473169,61.144767
1422.792966,61.180478
1425.120667,61.216239
1427.456937,61.252041
1429.802502,61.287897
1432.158154,61.323876
1434.524758,61.360124
1436.903265,61.396854
1439.294720,61.434306
1441.700273,61.472678
1444.121199,61.512085
1446.558904,61.552549
1449.014951,61.594044
1451.491073,61.636567
1453.989196,61.680197
1456.511459,61.725087
1459.060238,61.771328
1461.638166,61.818641
1464.248153,61.865913
1466.893396,61.910850
1469.577387,61.950114
1472.303900,61.980399
1475.076954,62.000545
1477.900752,62.014182
1480.779571,62.031606
1483.717604,62.066401
1486.718752,62.118081
1489.786347,62.174499
1492.922852,62.259212
1496.129554,62.408333
1499.406315,62.598211
1502.751453,62.819383
1506.161793,63.068167
1509.632916,63.286656
1513.159510,63.413453
1516.735729,63.452096
1520.355477,63.448304
1524.012709,63.530023
1527.701678,63.674153
1531.417011,63.958886
1535.153737,64.265803
1538.907451,64.517504
1542.674394,64.709626
1546.451451,64.852348
1550.236230,64.903847
1554.026993,65.155099
1557.822196,65.463826
1561.620093,65.822641
1565.418765,66.145388
1569.216272,66.458052
1573.010716,66.711459
1576.800405,66.774363
1580.583803,67.108660
1584.359067,67.454898
1588.123652,67.827639
1591.874306,68.174231
1595.607146,68.541165
1599.317637,68.890772
1603.000723,68.996519
1606.650959,69.270897
1610.262529,69.603916
1613.829353,69.905294
1617.345362,70.186224
1620.804791,70.466288
1624.202474,70.835696
1627.534211,71.190642
1630.797111,71.387794
1633.989801,71.520662
1637.112443,71.744053
1640.166580,71.956697
1643.154874,72.109963
1646.080795,72.222868
1648.948320,72.287995
1651.761676,72.274875
1654.525135,72.142896
1657.242871,71.823633
1659.918857,71.281253
1662.556813,71.637370
1665.160172,72.339645
1667.732075,72.809280
1670.275375,73.140287
1672.792651,73.386984
1675.286231,73.577872
1677.758210,73.730128
1680.210474,73.855344
1682.644720,73.961912
1685.062478,74.056022
1687.465127,74.142070
1689.853916,74.222879
1692.229974,74.299950
1694.594325,74.373818
1696.947902,74.444445
1699.291556,74.511563
1701.626065,74.574912
1703.952140,74.634352
1706.270439,74.689897
1708.581565,74.741689
1710.886078,74.789964
1713.184497,74.835009
1715.477303,74.877126
1717.764947,74.916609
1720.047851,74.953728
1722.326410,74.988723
1724.600998,75.021807
1726.871968,75.053164
1729.139654,75.082964
1731.404374,75.111367
1733.666435,75.138532
1735.926126,75.164629
1738.183730,75.189842
1740.439519,75.214381
1742.693755,75.238478
1744.946696,75.262400
1747.198592,75.286437
1749.449691,75.310910
1751.700235,75.336153
1753.950465,75.362514
1756.200621,75.390331
1758.450941,75.419924
1760.701666,75.451571
1762.953037,75.485491
1765.205298,75.521830
1767.458698,75.560649
1769.713489,75.601917
1771.969931,75.645515
1774.228290,75.691245
1776.488841,75.738842
1778.751869,75.787991
1781.017671,75.838352
1783.286557,75.889569
1785.558850,75.941293
1787.834892,75.993192
1790.115044,76.044958
1792.399687,76.096312
1794.689225,76.147009
1796.984091,76.196833
1799.284747,76.245597
1801.591689,76.293143
1803.905449,76.339342
1806.226604,76.384100
1808.555776,76.427370
1810.893643,76.469175
1813.240940,76.509624
1815.598473,76.548927
1817.967121,76.587387
1820.347851,76.625361
1822.741727,76.663185
1825.149920,76.701121
1827.573729,76.739351
1830.014587,76.778051
1832.474088,76.817482
1834.953998,76.858046
1837.456284,76.900411
1839.983127,76.945771
1842.536951,76.995767
1845.120440,77.051397
1847.736557,77.111931
1850.388554,77.175780
1853.079975,77.242817
1855.814633,77.315527
1858.596575,77.397033
1861.430000,77.485783
1864.319147,77.571690
1867.268131,77.639856
1870.280727,77.680229
1873.360119,77.697565
1876.508623,77.716229
1879.727406,77.761955
1883.016243,77.825341
1886.373366,77.929640
1889.795466,78.125984
1893.277873,78.379417
1896.814896,78.666729
1900.400298,78.944845
1904.027766,79.138140
1907.691237,79.237638
1911.385070,79.233981
1915.104236,79.323758
